# Alias decisions — verse-constrained candidates (456 total: 373 sheet + 83 pre-excluded/tail-moved)
# name | sample ref | target entity | strongs | verdict | reason
antilebanon | Deu 11:24 | Lebanon | H3844 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
esthaol | Jdg 16:31 | Eshtaol | H847 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
abia | 1Ch 3:10 | Abijah | H29 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
tekoite | 1Ch 11:28 | Tekoa | H8620 | ACCEPT | gentilic/plural derivation of the entity name; entity attested at ref
nazarite | Jdg 13:5 | Nazirites | H5139 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
milcha | Gen 11:29 | Milcah | H4435 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
mehunim | 2Ch 26:7 | Meunites | H4586 | ACCEPT | gentilic/plural derivation of the entity name; entity attested at ref
maraioth | 1Ch 6:7 | Meraioth | H4812 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
kirjathbaal | Jos 15:60 | Kiriath-jearim | H7157 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
gaba | Ezr 2:26 | Geba | H1387 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
baalgad | Jos 11:17 | Hermon_Mount | H2768 | ACCEPT | TIPNR's own attested form for this entity (normalized match); identity at ref
zoba | 2Sa 10:6 | Zobah | H6678 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
zarhite | Jos 7:17 | Zerah | H2226 | ACCEPT | gentilic/plural derivation of the entity name; entity attested at ref
tekoites | Neh 3:27 | Tekoa | H8620 | ACCEPT | gentilic/plural derivation of the entity name; entity attested at ref
tarah | Num 33:27 | Terah | H8646 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
soccoth | Num 33:5 | Succoth | H5523 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
shittin | Jos 2:1 | Shittim | H7851 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
shenir | Deu 3:9 | Hermon_Mount | H2768 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
shemei | Ezr 10:23 | Shimei | H8096 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
shapher | Num 33:23 | Shepher_Mount | H8234 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
secheniah | Neh 12:14 | Shebaniah | H7645 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
saraiah | Jer 36:26 | Seraiah | H8304 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
samiah | Gen 36:36 | Samlah | H8072 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
raphaiah | 1Ch 7:2 | Rephaiah | H7509 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
phua | 1Ch 7:1 | Puah | H6312 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
phrygian | Act 16:6 | Phrygia | G5435 | ACCEPT | gentilic/plural derivation of the entity name; entity attested at ref
pergamos | Rev 1:11 | Pergamum | G4010 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
nehelamite | Jer 29:24 | Nehelamites | H5161 | ACCEPT | gentilic/plural derivation of the entity name; entity attested at ref
nashon | Num 1:7 | Nahshon | H5177 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
morasthite | Jer 26:18 | Moresheth | H4182 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
melchishua | 1Sa 14:49 | Malchi-shua | H4444 | ACCEPT | TIPNR's own attested form for this entity (normalized match); identity at ref
masseiah | 1Ch 15:20 | Maaseiah | H4641 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
magiddo | 1Ch 7:29 | Megiddo | H4023 | ACCEPT | KJV/LXX spelling variant; TIPNR identity line matches the person/place at ref (hand-checked)
kos | Neh 3:21 | Hakkoz | H6976 | ACCEPT | not a TIPNR form piece anywhere else; identity at Neh 3:21 verified
korhites | 1Ch 12:6 | Korah | H7141 | ACCEPT | gentilic/plural derivation of the entity name; entity attested at ref
