# pn_slot_rulings.tsv - per-slot hand rulings for the word-position binding lane.
# Built 1:1 from the FROZEN prereg (docs/tickets/wordpos_prereg_20260807.txt,
# reviewer-ratified 2026-08-07; design DESIGN_wordpos_binding.md, codicils C1-C3).
# 95 rows = 93 lane slots + 2 appendix (3 slots floored in the prereg get NO row:
# dishon 1Ch 1:41 p5, jeiel 1Ch 16:5 p8 + p23 - a floor is the ABSENCE of a row).
# name = the printed english_head AT the slot (the staleness tripwire).
# Dry-run gate: scripts/check_wordpos_prereg.py (position-integrity only, C2);
# entity correctness = the reviewer's per-row verdict on the prereg, already given.
# simon-tanner row (Act 10:32 p14) is CONDITIONAL on the Simon@Act.8.13- refs read.
name	book	chapter	verse	position	entity_uniq	referent_kind	evidence_class	evidence_quote	rationale	flags
mary	Mat	27	56	3	Mary_Magdalene@Mat.27.56-Jhn	person	epithet-in-verse	Mary the Magdalene,	epithet; refs 40|27|56
mary	Mat	27	56	7	Mary@Mat.27.56-Jhn	person	epithet-in-verse	Mary the ... of James and Joses ... mother,	offspring James/Joses per entity record; refs 40|27|56
mary	Mat	27	61	3	Mary_Magdalene@Mat.27.56-Jhn	person	epithet-in-verse	Mary the Magdalene,	epithet; refs 40|27|61
mary	Mat	27	61	9	Mary@Mat.27.56-Jhn	person	tipnr-ref-partition	and the other Mary,	exhaustive-exclusive: only Magdalene + this entity list 40|27|61; named slot takes Magdalene
mary	Mat	28	1	9	Mary_Magdalene@Mat.27.56-Jhn	person	epithet-in-verse	Mary the Magdalene,	epithet; refs 40|28|1
mary	Mat	28	1	15	Mary@Mat.27.56-Jhn	person	tipnr-ref-partition	and the other Mary,	exhaustive-exclusive partition; named slot takes Magdalene
mary	Mar	15	40	10	Mary_Magdalene@Mat.27.56-Jhn	person	epithet-in-verse	Mary Magdalene,	epithet; refs 41|15|40
mary	Mar	15	40	13	Mary@Mat.27.56-Jhn	person	epithet-in-verse	Mary the one of James the less and Joses mother,	offspring James/Joses; refs 41|15|40
mary	Mar	15	47	2	Mary_Magdalene@Mat.27.56-Jhn	person	epithet-in-verse	Mary the Magdalene	epithet; refs 41|15|47
mary	Mar	15	47	6	Mary@Mat.1.16-Act	person	tipnr-ref-partition	and Mary of Joses	TIPNR files 41|15|47 under Jesus' mother (Joses in offspring); adjacent verses assign the parallel epithet to a different entity	mar-15-47-tension
mary	Mar	16	1	4	Mary_Magdalene@Mat.27.56-Jhn	person	epithet-in-verse	Mary the Magdalene,	epithet; refs 41|16|1
mary	Mar	16	1	8	Mary@Mat.27.56-Jhn	person	epithet-in-verse	Mary the one of James,	offspring James; refs 41|16|1
mary	Luk	24	10	4	Mary_Magdalene@Mat.27.56-Jhn	person	epithet-in-verse	the Magdalene — Mary,	epithet precedes name; refs 42|24|10
mary	Luk	24	10	8	Mary@Mat.27.56-Jhn	person	epithet-in-verse	Mary of James,	offspring James; refs 42|24|10
mary	Joh	19	25	16	Mary@Mat.27.56-Jhn	person	tipnr-ref-partition	Mary the one of Klopas,	leftover logic, ratified: no separate Klopas-Mary in TIPNR; only Magdalene + this entity list 43|19|25
mary	Joh	19	25	21	Mary_Magdalene@Mat.27.56-Jhn	person	epithet-in-verse	and Mary the Magdalene.	epithet; refs 43|19|25
joash	2Ki	13	10	7	Joash@2Ki.11.2-2Ch	person	epithet-in-verse	of Joash king of Judah,	Judah-line kin: parents Ahaziah, offspring Amaziah; refs 12|13|10
joash	2Ki	13	10	11	Joash@2Ki.13.9-Amo	person	kin-in-verse	Joash son of Jehoahaz reigned over Israel	parents Jehoahaz@2Ki.10.35-2Ch; refs 12|13|10
joash	2Ki	14	1	3	Joash@2Ki.13.9-Amo	person	kin-in-verse	of Joash son of Jehoahaz king of Israel,	parents Jehoahaz; refs 12|14|1
joash	2Ki	14	1	12	Joash@2Ki.11.2-2Ch	person	kin-in-verse	Amaziah son of Joash king of Judah	offspring Amaziah@2Ki.12.21-2Ch; refs 12|14|1
joash	2Ki	14	13	4	Joash@2Ki.11.2-2Ch	person	kin-in-verse	Amaziah son of Joash son of Ahaziah king of Judah	double kin: offspring Amaziah AND parents Ahaziah; refs 12|14|13
joash	2Ki	14	13	10	Joash@2Ki.13.9-Amo	person	epithet-in-verse	Joash king of Israel seized	Israel-line kin: parents Jehoahaz, offspring Jeroboam; refs 12|14|13
joash	2Ki	14	17	4	Joash@2Ki.11.2-2Ch	person	kin-in-verse	Amaziah son of Joash king of Judah	offspring Amaziah; refs 12|14|17
joash	2Ki	14	17	11	Joash@2Ki.13.9-Amo	person	kin-in-verse	Joash son of Jehoahaz king of Israel	parents Jehoahaz; refs 12|14|17
joash	2Ki	14	23	5	Joash@2Ki.11.2-2Ch	person	kin-in-verse	of Amaziah son of Joash king of Judah,	offspring Amaziah; refs 12|14|23
joash	2Ki	14	23	11	Joash@2Ki.13.9-Amo	person	kin-in-verse	Jeroboam son of Joash	offspring Jeroboam@2Ki.13.13-Amo; refs 12|14|23
joash	2Ch	25	25	5	Joash@2Ki.11.2-2Ch	person	kin-in-verse	Amaziah the son of Joash king of Judah	offspring Amaziah; refs 14|25|25
joash	2Ch	25	25	11	Joash@2Ki.13.9-Amo	person	kin-in-verse	of Joash the son of Jehoahaz king of Israel	parents Jehoahaz; refs 14|25|25
dishon	1Ch	1	41	2	Dishon@Gen.36.25-1Ch	person	kin-in-verse	The sons of Anah — Dishon.	parents Anah@Gen.36.2-1Ch
dishon	1Ch	1	41	8	Dishon@Gen.36.21-1Ch	person	kin-in-verse	And the sons of Dishon — Amram, and Eshban, and Ithran, and Cheran.	offspring Eshban/Ithran/Cheran (Amram~Hemdan, LXX form)
